"","Dim.1","Dim.2","Dim.3","Dim.4"
"DZA",0.248248379286199,-7.75197306223535,2.55395258684215,-1.0220148550221
"ECU",0.0121400008459169,0.567831593953229,-0.0326134670606077,0.895132872438584
"EGY",-1.57312284363183,-5.4295190084789,1.92681225681626,-1.2532467417573
"ESP",9.17650504409854,1.04100558325565,-0.372222996741838,-2.62190717615083
"ETH",-7.38691532779684,2.49917505436746,-3.57648917899172,-0.951243488085596
"FJI",-0.569363471169181,-3.62642201696229,-0.94891256597813,0.31025184052391
"FRA",8.30499876935335,1.94740824160837,-0.906536739195467,-2.47107678288375
"GEO",3.98518405013721,1.51221467566731,1.7134178926945,-0.600577011668256
"GHA",-3.85407509991771,1.35022609484282,1.09002715715235,1.00337935971064
"GIN",-8.01304961801641,0.0907455740794481,-2.30538844963781,-2.27737301716051
"GMB",-6.47866998002548,-0.0624026354474808,2.12441174442278,-0.347883508541205
"GNB",-8.22690289763094,1.92414827695616,-2.3520109092969,-0.268071154022124
"GRC",8.98458572567849,0.182065268464026,0.406339503161116,-3.19871733817063
"GTM",-3.36359593048019,-0.250859273359623,4.69292337323564,1.31598159564365
"HND",-3.08408413342594,-0.304250373220163,0.778620757201696,1.17594118356089
"HRV",7.28924950756628,0.103931237196252,1.07066284958445,-2.39250611878216
"IDN",-0.443289144508407,-0.702115875206192,-0.45121825999405,0.697878785061341
"IND",-1.91274750193403,-5.29045214355462,-1.00143289613216,-2.093242541625
"IRL",6.99995242299006,1.60076669644058,-0.0056896863200339,-0.027295722369669
"IRN",1.45313786756344,-8.45425295963239,0.0484179813732032,-0.0125695947519213
"ISL",7.89915113341989,6.18564205977269,5.52268647634603,1.90548204941952
"ITA",9.14251131436268,-0.233733602713429,-0.663194347200248,-4.43258469975805
"JAM",0.785017921639128,-0.247722959844428,-1.68238805531379,0.319637991179347
"KAZ",2.2507108239237,1.27707947868067,1.86827258380926,1.29426987039497
"KEN",-6.67672110739406,4.06295322976497,1.19283934788195,1.48968220942954
"KGZ",-1.27397027770447,-1.90153860847924,1.96237503467208,0.0717448997407192
"KHM",-3.87370971602297,1.42855762926539,-4.77368899233788,1.39066472269924
"LKA",0.825269635319093,-3.15226846065975,-1.20032345636269,-2.92133003460731
"LSO",-6.35488635961223,0.683077562298925,0.852649559083205,-0.121594514768224
"LTU",8.58413898490707,3.27767268444697,1.25854288790609,-1.7965963358391
"LUX",8.78858562918359,0.82724146754493,-0.0611357618351494,1.02039739494814
"LVA",8.52263378572087,2.69758866299382,0.407181131165219,-1.60462082119722
"MAR",0.111380620958529,-6.36182579676519,0.888903591755627,-1.54710601063622
"MDA",2.51318235694861,-7.20273553931514,-0.696720286187515,-2.52817370538198
"MDG",-7.34231424819932,4.86825083831518,-2.48598976085581,0.157929698913887
"MEX",1.04733300899414,-1.51150252289581,0.918040950180231,0.678138626691025
"MLI",-8.58044264009305,1.73289708172007,-1.0543505982836,-1.47216358390964
"MMR",-2.13120034111493,-3.08573246499988,-3.69325839322195,-0.819930461594992
"MNG",0.417813734044393,-3.31608194615615,0.201633156219725,0.791984952923927
"MRT",-5.73201965328268,-4.75634324823718,0.134166533853403,-2.18343405337153
"MUS",3.40692761258602,-1.67249180040346,-0.938127134199042,-1.06103393606386
"MYS",2.17154712263617,-0.836143349478705,1.90306737926067,2.92155358289057
"NAM",-4.33637356700508,1.21901959011258,8.99747872730472,2.25330619161987
"NER",-10.3823251063094,2.99379900586374,-2.15077226612874,-3.3098517490691
"NIC",-1.91300044447083,-0.960942662107658,-0.813023311822204,0.879996096181873
"NLD",8.90557435045455,3.92288894699637,0.675502907159089,-0.484718441675377
"NOR",8.84404390400542,4.09911157270596,3.62521565710576,0.590211793184718
"NPL",-3.87566265229615,3.29571121670496,-1.32975387856192,0.482958696103306
"NZL",6.35755181461798,3.48561497609688,0.661804063771518,-0.0781115626979745
