"","X.1","X_7","SAR","case_7","closest_SAR_7","X_10","case_10","closest_SAR_10","X","case_14","closest_SAR_14","clade1_cR0_7","clade1_cR0_10","clade1_cR0_14","clade2_R0_7","clade2_R0_10","clade2_R0_14"
"54",54,54,0.265,9.99842616136171e-05,0.744157433364177,54,9.99834756151285e-05,0.459569030424409,54,9.99842514091132e-05,0.311661889058035,1.0036428994807,1.00339825725101,1.00303906422059,0.357404705560774,0.57858672053241,0.852864470602497
"55",55,55,0.27,9.99842616136171e-05,0.744157433364177,55,9.99834756151285e-05,0.459569030424409,55,9.99842514091132e-05,0.311661889058035,1.0036428994807,1.00339825725101,1.00303906422059,0.364148190571355,0.589503451108493,0.868956253066695
"56",56,56,0.275,9.99842616136171e-05,0.744157433364177,56,9.99834756151285e-05,0.459569030424409,56,9.99842514091132e-05,0.311661889058035,1.0036428994807,1.00339825725101,1.00303906422059,0.370891675581936,0.600420181684576,0.885048035530893
"57",57,57,0.28,9.99842616136171e-05,0.744157433364177,57,9.99834756151285e-05,0.459569030424409,57,9.99842514091132e-05,0.311661889058035,1.0036428994807,1.00339825725101,1.00303906422059,0.377635160592516,0.611336912260659,0.901139817995091
"58",58,58,0.285,9.99842616136171e-05,0.744157433364177,58,9.99834756151285e-05,0.459569030424409,58,9.99842514091132e-05,0.311661889058035,1.0036428994807,1.00339825725101,1.00303906422059,0.384378645603097,0.622253642836742,0.917231600459289
"59",59,59,0.29,9.99842616136171e-05,0.744157433364177,59,9.99834756151285e-05,0.459569030424409,59,9.99842514091132e-05,0.311661889058035,1.0036428994807,1.00339825725101,1.00303906422059,0.391122130613678,0.633170373412826,0.933323382923487
"60",60,60,0.295,9.99842616136171e-05,0.744157433364177,60,9.99834756151285e-05,0.459569030424409,60,9.99842514091132e-05,0.311661889058035,1.0036428994807,1.00339825725101,1.00303906422059,0.397865615624258,0.644087103988909,0.949415165387685
"61",61,61,0.3,9.99842616136171e-05,0.744157433364177,61,9.99834756151285e-05,0.459569030424409,61,9.99842514091132e-05,0.311661889058035,1.0036428994807,1.00339825725101,1.00303906422059,0.404609100634839,0.655003834564992,0.965506947851883
"62",62,62,0.305,9.99842616136171e-05,0.744157433364177,62,9.99834756151285e-05,0.459569030424409,62,9.99842514091132e-05,0.311661889058035,1.0036428994807,1.00339825725101,1.00303906422059,0.41135258564542,0.665920565141075,0.981598730316081
"63",63,63,0.31,9.99842616136171e-05,0.744157433364177,63,9.99834756151285e-05,0.459569030424409,63,9.99842514091132e-05,0.311661889058035,1.0036428994807,1.00339825725101,1.00303906422059,0.418096070656,0.676837295717158,0.997690512780279
"64",64,64,0.315,9.99842616136171e-05,0.744157433364177,64,9.99834756151285e-05,0.459569030424409,64,0.000798997704307913,0.318089189223076,1.0036428994807,1.00339825725101,1.02372440743817,0.424839555666581,0.687754026293242,1.01378229524448
"65",65,65,0.32,9.99842616136171e-05,0.744157433364177,65,9.99834756151285e-05,0.459569030424409,65,0.00199379249402742,0.32848669343742,1.0036428994807,1.00339825725101,1.05718728263574,0.431583040677162,0.698670756869325,1.02987407770868
"66",66,66,0.325,9.99842616136171e-05,0.744157433364177,66,9.99834756151285e-05,0.459569030424409,66,0.00318424518749183,0.338281744779046,1.0036428994807,1.00339825725101,1.08871124971875,0.438326525687742,0.709587487445408,1.04596586017287
"67",67,67,0.33,9.99842616136171e-05,0.744157433364177,67,9.99834756151285e-05,0.459569030424409,67,0.00437045689039417,0.347619850518796,1.0036428994807,1.00339825725101,1.1187646029571,0.445070010698323,0.720504218021491,1.06205764263707
"68",68,68,0.335,9.99842616136171e-05,0.744157433364177,68,9.99834756151285e-05,0.459569030424409,68,0.00574913179393044,0.358066622171123,1.0036428994807,1.00339825725101,1.15238603833358,0.451813495708904,0.731420948597574,1.07814942510127
"69",69,69,0.34,9.99842616136171e-05,0.744157433364177,69,9.99834756151285e-05,0.459569030424409,69,0.00702438763821966,0.367424186737722,1.0036428994807,1.00339825725101,1.18250201701366,0.458556980719484,0.742337679173658,1.09424120756547
"70",70,70,0.345,9.99842616136171e-05,0.744157433364177,70,9.99834756151285e-05,0.459569030424409,70,0.00839253118604089,0.377203296208974,1.0036428994807,1.00339825725101,1.21397467747465,0.465300465730065,0.753254409749741,1.11033299002967
"71",71,71,0.35,9.99842616136171e-05,0.744157433364177,71,9.99834756151285e-05,0.459569030424409,71,0.00985252821119564,0.387398299617024,1.0036428994807,1.00339825725101,1.24678583288747,0.472043950740645,0.764171140325824,1.12642477249386
"72",72,72,0.355,9.99842616136171e-05,0.744157433364177,72,9.99834756151285e-05,0.459569030424409,72,0.0113065755989107,0.39734998969181,1.0036428994807,1.00339825725101,1.27881391925439,0.478787435751226,0.775087870901907,1.14251655495806
