"","SAR","Infections","Reff_1"
"2775",2.04729813323081,0.214019867570512,0.0488448645445652
"2776",2.04804856363876,0.214082042227876,0.0488269671800801
"2777",2.04879912665427,0.214144209024252,0.0488090797672791
"2778",2.04954982230188,0.214206367961578,0.0487912022981166
"2779",2.05030065060614,0.214268519041788,0.0487733347645558
"2780",2.0510516115916,0.21433066226682,0.0487554771585687
"2781",2.05180270528281,0.214392797638607,0.0487376294721361
"2782",2.05255393170429,0.214454925159082,0.0487197916972477
"2783",2.0533052908806,0.214517044830179,0.048701963825902
"2784",2.05405678283626,0.214579156653829,0.0486841458501061
"2785",2.0548084075958,0.214641260631962,0.048666337761876
"2786",2.05556016518377,0.214703356766509,0.0486485395532366
"2787",2.05631205562467,0.214765445059399,0.0486307512162214
"2788",2.05706407894303,0.214827525512559,0.0486129727428726
"2789",2.05781623516338,0.214889598127917,0.0485952041252412
"2790",2.05856852431024,0.2149516629074,0.0485774453553869
"2791",2.05932094640811,0.215013719852932,0.0485596964253781
"2792",2.06007350148151,0.215075768966439,0.0485419573272919
"2793",2.06082618955494,0.215137810249843,0.048524228053214
"2794",2.06157901065292,0.215199843705067,0.0485065085952389
"2795",2.06233196479995,0.215261869334034,0.0484887989454696
"2796",2.06308505202052,0.215323887138664,0.0484710990960179
"2797",2.06383827233914,0.215385897120877,0.0484534090390041
"2798",2.0645916257803,0.215447899282592,0.0484357287665571
"2799",2.0653451123685,0.215509893625728,0.0484180582708146
"2800",2.06609873212821,0.215571880152202,0.0484003975439226
"2801",2.06685248508394,0.215633858863931,0.0483827465780359
"2802",2.06760637126016,0.215695829762829,0.0483651053653178
"2803",2.06836039068135,0.215757792850812,0.0483474738979402
"2804",2.069114543372,0.215819748129793,0.0483298521680833
"2805",2.06986882935658,0.215881695601685,0.0483122401679363
"2806",2.07062324865955,0.215943635268401,0.0482946378896964
